,Year,Country,Child Mortality,GDP,Diff CM,Diff GDP
4495,2015,GIN,112.6,6.620073206530356,-1.9000000000000057,0.027028672387919173
4496,2016,GIN,110.1,6.633318433280377,-2.5,0.013245226750020933
4497,2017,GIN,108.3,6.697034247666484,-1.7999999999999972,0.06371581438610718
4498,2018,GIN,106.2,6.745236349484363,-2.0999999999999943,0.04820210181787843
4499,2019,GIN,104.0,6.84587987526405,-2.200000000000003,0.10064352577968716
4500,2020,GIN,101.6,6.866933284461882,-2.4000000000000057,0.021053409197832273
4501,2021,GIN,98.7,6.927557906278317,-2.8999999999999915,0.060624621816434576
4502,1986,GNB,239.6,5.075173815233827,-4.800000000000011,-0.17185025692665956
4503,1987,GNB,235.3,5.135798437050262,-4.299999999999983,0.060624621816435464
4504,1988,GNB,231.1,5.19295685089021,-4.200000000000017,0.05715841383994835
4505,1989,GNB,226.9,5.3471075307174685,-4.199999999999989,0.15415067982725805
4506,1990,GNB,222.8,5.393627546352362,-4.099999999999994,0.0465200156348935
4507,1991,GNB,218.5,5.521460917862246,-4.300000000000011,0.12783337150988405
4508,1992,GNB,214.1,5.480638923341991,-4.400000000000006,-0.04082199452025481
4509,1993,GNB,209.6,5.393627546352362,-4.5,-0.08701137698962924
4510,1994,GNB,205.0,5.3471075307174685,-4.599999999999994,-0.0465200156348935
4511,1995,GNB,200.1,5.393627546352362,-4.900000000000006,0.0465200156348935
4512,1996,GNB,195.0,5.438079308923196,-5.099999999999994,0.04445176257083361
4513,1997,GNB,190.0,5.438079308923196,-5.0,0.0
4514,1998,GNB,185.0,5.075173815233827,-5.0,-0.362905493689369
4515,1999,GNB,179.7,5.075173815233827,-5.300000000000011,0.0
4516,2000,GNB,174.5,5.298317366548036,-5.199999999999989,0.2231435513142097
4517,2001,GNB,169.1,5.480638923341991,-5.400000000000006,0.1823215567939549
4518,2002,GNB,163.4,5.703782474656201,-5.699999999999989,0.2231435513142097
4519,2003,GNB,157.6,5.768320995793772,-5.800000000000011,0.06453852113757108
4520,2004,GNB,151.5,5.91350300563827,-6.099999999999994,0.1451820098444978
4521,2005,GNB,145.2,6.040254711277414,-6.300000000000011,0.12675170563914406
4522,2006,GNB,138.9,6.063785208687608,-6.299999999999983,0.023530497410193973
4523,2007,GNB,132.6,6.1092475827643655,-6.300000000000011,0.04546237407675768
4524,2008,GNB,126.3,6.214608098422191,-6.299999999999997,0.10536051565782589
4525,2009,GNB,120.1,6.309918278226516,-6.200000000000003,0.09531017980432477
4526,2010,GNB,114.4,6.345636360828596,-5.699999999999989,0.03571808260207998
4527,2011,GNB,109.0,6.429719478039138,-5.400000000000006,0.0840831172105414
4528,2012,GNB,103.9,6.413458957167357,-5.099999999999994,-0.016260520871780315
4529,2013,GNB,99.4,6.429719478039138,-4.5,0.016260520871780315
4530,2014,GNB,95.5,6.429719478039138,-3.9000000000000057,0.0
4531,2015,GNB,91.8,6.429719478039138,-3.700000000000003,0.0
4532,2016,GNB,88.6,6.461468176353717,-3.200000000000003,0.031748698314579826
4533,2017,GNB,85.5,6.492239835020471,-3.0999999999999943,0.030771658666753687
4534,2018,GNB,82.4,6.551080335043404,-3.0999999999999943,0.058840500022933284
4535,2019,GNB,79.5,6.659293919683638,-2.9000000000000057,0.10821358464023323
4536,2020,GNB,77.0,6.606650186198215,-2.5,-0.052643733485422395
4537,2021,GNB,74.3,6.633318433280377,-2.700000000000003,0.026668247082161756
4538,1963,GUY,82.2,5.521460917862246,-2.799999999999997,-0.11332868530700324
4539,1964,GUY,79.9,5.634789603169249,-2.299999999999997,0.11332868530700324
4540,1965,GUY,78.2,5.736572297479192,-1.7000000000000028,0.10178269430994291
4541,1966,GUY,76.8,5.768320995793772,-1.4000000000000057,0.031748698314579826
4542,1967,GUY,75.6,5.8289456176102075,-1.2000000000000028,0.060624621816435464
4543,1968,GUY,74.9,5.799092654460526,-0.6999999999999886,-0.029852963149681777
4544,1969,GUY,74.2,5.857933154483459,-0.7000000000000028,0.058840500022933284
4545,1970,GUY,73.8,5.886104031450156,-0.4000000000000057,0.028170876966696845
4546,1971,GUY,73.5,5.940171252720432,-0.29999999999999716,0.054067221270275745
4547,1972,GUY,73.4,5.966146739123692,-0.09999999999999432,0.02597548640326064
4548,1973,GUY,73.2,6.063785208687608,-0.20000000000000284,0.09763846956391564
4549,1974,GUY,73.0,6.29156913955832,-0.20000000000000284,0.22778393087071258
4550,1975,GUY,72.8,6.522092798170152,-0.20000000000000284,0.23052365861183155
4551,1976,GUY,72.4,6.507277712385012,-0.3999999999999915,-0.014815085785140347
4552,1977,GUY,72.0,6.413458957167357,-0.4000000000000057,-0.09381875521765437
4553,1978,GUY,71.4,6.429719478039138,-0.5999999999999943,0.016260520871780315
4554,1979,GUY,70.9,6.507277712385012,-0.5,0.07755823434587406
4555,1980,GUY,70.3,6.633318433280377,-0.6000000000000085,0.12604072089536533
4556,1981,GUY,69.6,6.606650186198215,-0.7000000000000028,-0.026668247082161756
4557,1982,GUY,69.0,6.380122536899765,-0.5999999999999943,-0.22652764929845048
4558,1983,GUY,68.3,6.234410725718371,-0.7000000000000028,-0.14571181118139354
4559,1984,GUY,67.6,6.152732694704104,-0.7000000000000028,-0.08167803101426685
4560,1985,GUY,66.7,6.214608098422191,-0.8999999999999915,0.061875403718087085
4561,1986,GUY,65.9,6.253828811575473,-0.7999999999999972,0.03922071315328157
4562,1987,GUY,64.8,6.1092475827643655,-1.1000000000000085,-0.14458122881110747
4563,1988,GUY,63.7,6.131226489483141,-1.0999999999999943,0.02197890671877545
4564,1989,GUY,62.3,5.886104031450156,-1.4000000000000057,-0.24512245803298516
4565,1990,GUY,60.9,5.966146739123692,-1.3999999999999986,0.08004270767353638
4566,1991,GUY,59.3,5.799092654460526,-1.6000000000000014,-0.1670540846631665
4567,1992,GUY,57.7,5.966146739123692,-1.5999999999999943,0.1670540846631665
4568,1993,GUY,56.1,6.152732694704104,-1.6000000000000014,0.18658595558041213
4569,1994,GUY,54.6,6.345636360828596,-1.5,0.19290366612449183
4570,1995,GUY,53.1,6.522092798170152,-1.5,0.1764564373415558
4571,1996,GUY,51.7,6.733401891837359,-1.3999999999999986,0.2113090936672073
4572,1997,GUY,50.4,6.7912214627261855,-1.3000000000000043,0.05781957088882628
4573,1998,GUY,49.1,6.76849321164863,-1.2999999999999972,-0.02272825107755594
4574,1999,GUY,47.9,6.745236349484363,-1.2000000000000028,-0.023256862164267034
4575,2000,GUY,46.6,6.76849321164863,-1.2999999999999972,0.023256862164267034
4576,2001,GUY,45.4,6.76849321164863,-1.2000000000000028,0.0
4577,2002,GUY,44.3,6.76849321164863,-1.1000000000000014,0.0
4578,2003,GUY,43.3,6.824373670043086,-1.0,0.05588045839445677
4579,2004,GUY,42.3,6.917705609835305,-1.0,0.09333193979221832
4580,2005,GUY,41.4,6.975413927455952,-0.8999999999999986,0.05770831762064699
4581,2006,GUY,40.5,7.27931883541462,-0.8999999999999986,0.3039049079586684
4582,2007,GUY,39.7,7.718685495198466,-0.7999999999999972,0.4393666597838459
4583,2008,GUY,38.8,8.24800570160062,-0.9000000000000057,0.5293202064021543
4584,2009,GUY,38.1,8.333270353255308,-0.6999999999999957,0.085264651654688
4585,2010,GUY,37.4,8.416267272826277,-0.7000000000000028,0.08299691957096833
4586,2011,GUY,36.6,8.490849216076635,-0.7999999999999972,0.07458194325035805
4587,2012,GUY,35.9,8.586719254064848,-0.7000000000000028,0.09587003798821314
4588,2013,GUY,35.0,8.635864721133736,-0.8999999999999986,0.04914546706888778
4589,2014,GUY,34.1,8.641179171197228,-0.8999999999999986,0.005314450063492515
4590,2015,GUY,33.1,8.623353387244627,-1.0,-0.017825783952600815
4591,2016,GUY,32.2,8.646465527120377,-0.8999999999999986,0.02311213987574945
4592,2017,GUY,31.3,8.699514748210191,-0.9000000000000021,0.05304922108981458
4593,2018,GUY,30.3,8.738735461363474,-1.0,0.03922071315328246
4594,2019,GUY,29.4,8.779557455883728,-0.9000000000000021,0.040821994520253924
4595,2020,GUY,28.5,9.010669176847115,-0.8999999999999986,0.23111172096338706
4596,2021,GUY,27.7,9.149528232579426,-0.8000000000000007,0.13885905573231128
4597,1981,HTI,185.4,5.521460917862246,-5.199999999999989,0.0
4598,1982,HTI,180.5,5.521460917862246,-4.900000000000006,0.0
4599,1983,HTI,175.6,5.521460917862246,-4.900000000000006,0.0
4600,1984,HTI,170.9,5.560681631015528,-4.699999999999989,0.03922071315328157
4601,1985,HTI,166.3,5.66988092298052,-4.599999999999994,0.109199291964992
4602,1986,HTI,161.9,5.799092654460526,-4.400000000000006,0.1292117314800061
4603,1987,HTI,157.5,5.857933154483459,-4.400000000000006,0.058840500022933284
4604,1988,HTI,153.2,5.966146739123692,-4.300000000000011,0.10821358464023323
4605,1989,HTI,149.0,5.940171252720432,-4.199999999999989,-0.02597548640326064
4606,1990,HTI,144.9,6.040254711277414,-4.099999999999994,0.10008345855698231
4607,1991,HTI,140.8,6.131226489483141,-4.099999999999994,0.0909717782057271
4608,1992,HTI,136.6,5.991464547107982,-4.200000000000017,-0.13976194237515926
4609,1993,HTI,132.4,5.768320995793772,-4.199999999999989,-0.2231435513142097
4610,1994,HTI,128.2,5.560681631015528,-4.200000000000017,-0.2076393647782444
4611,1995,HTI,123.9,5.736572297479192,-4.299999999999983,0.17589066646366458
4612,1996,HTI,119.7,5.91350300563827,-4.200000000000003,0.17693070815907763
4613,1997,HTI,115.5,5.991464547107982,-4.200000000000003,0.0779615414697119
4614,1998,HTI,111.5,6.016157159698354,-4.0,0.024692612590372143
4615,1999,HTI,107.5,6.131226489483141,-4.0,0.11506932978478712
4616,2000,HTI,103.9,6.309918278226516,-3.5999999999999943,0.1786917887433752
4617,2001,HTI,100.5,6.461468176353717,-3.4000000000000057,0.1515498981272012
4618,2002,HTI,97.3,6.593044534142437,-3.200000000000003,0.13157635778871946
4619,2003,HTI,94.4,6.507277712385012,-2.8999999999999915,-0.08576682175742523
4620,2004,HTI,91.9,6.492239835020471,-2.5,-0.015037877364540542
4621,2005,HTI,89.5,6.551080335043404,-2.4000000000000057,0.058840500022933284
4622,2006,HTI,87.3,6.672032945461067,-2.200000000000003,0.12095261041766303
4623,2007,HTI,85.2,6.813444599510896,-2.0999999999999943,0.14141165404982825
4624,2008,HTI,83.3,6.917705609835305,-1.9000000000000057,0.10426101032440904
4625,2009,HTI,81.4,7.05617528410041,-1.8999999999999915,0.1384696742651057
4626,2010,HTI,130.1,7.038783541388542,48.69999999999999,-0.01739174271186883
4627,2011,HTI,77.6,7.1308988302963465,-52.5,0.09211528890780496
4628,2012,HTI,75.8,7.1853870155804165,-1.7999999999999972,0.05448818528406996
4629,2013,HTI,73.9,7.251344983372214,-1.8999999999999915,0.06595796779179786
4630,2014,HTI,72.0,7.272398392570047,-1.9000000000000057,0.021053409197832273
4631,2015,HTI,70.1,7.265429723253953,-1.9000000000000057,-0.006968669316093745
4632,2016,HTI,68.2,7.222566018822171,-1.8999999999999915,-0.04286370443178189
4633,2017,HTI,66.3,7.215239978730097,-1.9000000000000057,-0.007326040092073605
4634,2018,HTI,64.4,7.258412150595307,-1.8999999999999915,0.043172171865209386
4635,2019,HTI,62.5,7.24422751560335,-1.9000000000000057,-0.01418463499195699
4636,2020,HTI,60.5,7.1929342212158,-2.0,-0.05129329438755015
4637,2021,HTI,58.6,7.265429723253953,-1.8999999999999986,0.07249550203815325
4638,1963,HND,188.4,5.19295685089021,-6.5,0.05715841383994835
4639,1964,HND,182.0,5.247024072160486,-6.400000000000006,0.054067221270275745
4640,1965,HND,175.7,5.298317366548036,-6.300000000000011,0.05129329438755015
4641,1966,HND,169.6,5.393627546352362,-6.099999999999994,0.09531017980432566
4642,1967,HND,163.6,5.438079308923196,-6.0,0.04445176257083361
4643,1968,HND,157.6,5.480638923341991,-6.0,0.04255961441879563
4644,1969,HND,151.8,5.521460917862246,-5.799999999999983,0.04082199452025481
4645,1970,HND,146.0,5.521460917862246,-5.800000000000011,0.0
4646,1971,HND,140.4,5.560681631015528,-5.599999999999994,0.03922071315328157
4647,1972,HND,134.9,5.634789603169249,-5.5,0.07410797215372167
4648,1973,HND,129.5,5.736572297479192,-5.400000000000006,0.10178269430994291
4649,1974,HND,148.9,5.857933154483459,19.400000000000006,0.1213608570042668
4650,1975,HND,119.0,5.91350300563827,-29.900000000000006,0.055569851154810834
4651,1976,HND,113.9,5.991464547107982,-5.099999999999994,0.0779615414697119
4652,1977,HND,109.0,6.1092475827643655,-4.900000000000006,0.11778303565638382
4653,1978,HND,104.1,6.380122536899765,-4.900000000000006,0.2708749541353992
4654,1979,HND,99.4,6.697034247666484,-4.699999999999989,0.3169117107667194
4655,1980,HND,94.9,6.966024187106113,-4.5,0.2689899394396287
4656,1981,HND,90.5,6.966024187106113,-4.400000000000006,0.0
4657,1982,HND,86.2,6.907755278982137,-4.299999999999997,-0.058268908123976004
4658,1983,HND,82.1,6.887552571664617,-4.1000000000000085,-0.020202707317519497
4659,1984,HND,78.2,6.956545443151569,-3.8999999999999915,0.06899287148695166
4660,1985,HND,74.5,7.029972911706386,-3.700000000000003,0.07342746855481685
4661,1986,HND,70.9,7.122866658599083,-3.5999999999999943,0.09289374689269714
4662,1987,HND,67.5,7.22983877815125,-3.4000000000000057,0.10697211955216712
4663,1988,HND,64.3,7.22983877815125,-3.200000000000003,0.0
4664,1989,HND,61.2,7.1308988302963465,-3.0999999999999943,-0.09893994785490356
4665,1990,HND,58.3,6.984716320118266,-2.9000000000000057,-0.1461825101780807
4666,1991,HND,55.6,6.824373670043086,-2.6999999999999957,-0.16034265007517945
4667,1992,HND,53.1,6.813444599510896,-2.5,-0.010929070532190721
4668,1993,HND,50.8,6.835184586147301,-2.3000000000000043,0.02173998663640564
4669,1994,HND,48.6,6.756932389247553,-2.1999999999999957,-0.07825219689974805
4670,1995,HND,46.5,6.779921907472252,-2.1000000000000014,0.022989518224698635
4671,1996,HND,44.6,6.756932389247553,-1.8999999999999986,-0.022989518224698635
4672,1997,HND,42.7,6.7912214627261855,-1.8999999999999986,0.034289073478632304
4673,1998,HND,64.2,6.802394763324311,21.5,0.01117330059812538
4674,1999,HND,39.2,6.824373670043086,-25.0,0.02197890671877545
4675,2000,HND,37.5,6.917705609835305,-1.7000000000000028,0.09333193979221832
4676,2001,HND,35.8,6.946975992135418,-1.7000000000000028,0.029270382300113695
4677,2002,HND,34.2,6.966024187106113,-1.5999999999999943,0.019048194970694432
4678,2003,HND,32.8,7.01211529430638,-1.4000000000000057,0.04609110720026699
4679,2004,HND,31.4,7.081708586105575,-1.3999999999999986,0.06959329179919482
4680,2005,HND,30.0,7.146772179452637,-1.3999999999999986,0.06506359334706246
4681,2006,HND,28.8,7.200424892944957,-1.1999999999999993,0.053652713492319926
4682,2007,HND,27.7,7.293017679772782,-1.1000000000000014,0.0925927868278249
4683,2008,HND,26.6,7.383989457978509,-1.0999999999999979,0.0909717782057271
4684,2009,HND,25.6,7.408530566894626,-1.0,0.02454110891611716
4685,2010,HND,24.7,7.444248649496705,-0.9000000000000021,0.03571808260207909
4686,2011,HND,23.8,7.52294091807237,-0.8999999999999986,0.07869226857566503
4687,2012,HND,22.9,7.5652752818989315,-0.9000000000000021,0.042334363826561194
4688,2013,HND,22.1,7.585788821732034,-0.7999999999999972,0.02051353983310289
4689,2014,HND,21.3,7.585788821732034,-0.8000000000000007,0.0
4690,2015,HND,20.5,7.61085279039525,-0.8000000000000007,0.025063968663215697
4691,2016,HND,19.8,7.640123172695364,-0.6999999999999993,0.029270382300113695
4692,2017,HND,19.1,7.696212639346407,-0.6999999999999993,0.056089466651043196
4693,2018,HND,18.4,7.731930721948486,-0.7000000000000028,0.03571808260207909
4694,2019,HND,17.8,7.753623546559746,-0.5999999999999979,0.021692824611259987
4695,2020,HND,17.1,7.673223121121708,-0.6999999999999993,-0.08040042543803771
